Feature,Comparison,Null_Hypothesis,Welch_F,ddof1,ddof2,P_value,np2,Result,ND_N_CSV,ND_Mean,CD_N_CSV,CD_Mean,ED_N_CSV,ED_Mean,MD_N_CSV,MD_Mean
gaze_0_y,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_0_y)은 모두 같다.",7.2373,2,18.656,0.004715271851264501,0.273166,기각 (차이 있음),12,0.151,,,10.0,0.0999,10.0,0.2837
gaze_0_y,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_0_y)은 모두 같다.",4.7907,3,21.2686,0.010583472349960647,0.197732,기각 (차이 있음),12,0.151,11.0,0.1818,10.0,0.0999,10.0,0.2837
gaze_0_z,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_0_z)은 모두 같다.",1.6722,2,17.0171,0.21725128212129952,0.053637,기각하지 못함 (차이 없음),12,-0.9447,11.0,-0.9485,10.0,-0.9655,,
gaze_0_z,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_0_z)은 모두 같다.",0.3906,2,19.5256,0.6818341806257933,0.020922,기각하지 못함 (차이 없음),12,-0.9447,11.0,-0.9485,,,10.0,-0.9344
gaze_0_z,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_0_z)은 모두 같다.",4.6254,2,17.327,0.024566871585960146,0.152173,기각 (차이 있음),12,-0.9447,,,10.0,-0.9655,10.0,-0.9344
gaze_0_z,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_0_z)은 모두 같다.",3.0947,3,20.1619,0.04996885872200626,0.085349,기각 (차이 있음),12,-0.9447,11.0,-0.9485,10.0,-0.9655,10.0,-0.9344
gaze_1_x,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_1_x)은 모두 같다.",0.2617,2,19.6907,0.7723664989486791,0.0178,기각하지 못함 (차이 없음),12,-0.0239,11.0,-0.0474,10.0,-0.0264,,
gaze_1_x,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_1_x)은 모두 같다.",1.3295,2,19.0887,0.2880409992411406,0.064122,기각하지 못함 (차이 없음),12,-0.0239,11.0,-0.0474,,,10.0,-0.0687
gaze_1_x,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_1_x)은 모두 같다.",1.8007,2,18.0139,0.19366713007505115,0.078642,기각하지 못함 (차이 없음),12,-0.0239,,,10.0,-0.0264,10.0,-0.0687
gaze_1_x,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_1_x)은 모두 같다.",1.1769,3,20.9718,0.3423285292468793,0.058119,기각하지 못함 (차이 없음),12,-0.0239,11.0,-0.0474,10.0,-0.0264,10.0,-0.0687
gaze_1_y,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_1_y)은 모두 같다.",0.3926,2,19.6395,0.6805069931272283,0.02631,기각하지 못함 (차이 없음),12,0.1424,11.0,0.1875,10.0,0.1284,,
gaze_1_y,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_1_y)은 모두 같다.",3.265,2,19.8658,0.05942807232904135,0.153285,기각하지 못함 (차이 없음),12,0.1424,11.0,0.1875,,,10.0,0.2856
gaze_1_y,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_1_y)은 모두 같다.",4.421,2,18.8085,0.02668121291571621,0.197831,기각 (차이 있음),12,0.1424,,,10.0,0.1284,10.0,0.2856
