experiment,ablation,removed_type,removed_name,removed_group,removed_groups,num_removed_groups,num_features,acc_mean,acc_std,bacc_mean,bacc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,spec_mean,spec_std,auc_mean,auc_std
3Class_ND_CDED_MD,group_minus_AU_POSE,group,AU_POSE,"AU,POSE","AU,POSE",2,16,0.6665725198005781,0.025665236048334008,0.6665725198005781,0.025665236048334008,0.6802592882290704,0.028694749924861998,0.6665725198005781,0.025665236048334008,0.6678826545756699,0.026804958722298895,0.833286259900289,0.012832618024166994,0.8445850624739121,0.021987058570100363
3Class_ND_CDED_MD,group_minus_AU_VEHICLE,group,AU_VEHICLE,"AU,VEHICLE","AU,VEHICLE",2,17,0.6849063177745108,0.0259204508355554,0.6849063177745108,0.025920450835555466,0.7044085390418648,0.027617640382469996,0.6849063177745108,0.025920450835555466,0.6868939134142418,0.026887901480565347,0.8424531588872555,0.012960225417777714,0.8571014667816291,0.02673898445658282
3Class_ND_CDED_MD,group_minus_AU_GAZE,group,AU_GAZE,"AU,GAZE","AU,GAZE",2,11,0.6819731841669479,0.027621359792561903,0.6819731841669479,0.027621359792561903,0.6917928251578741,0.02641343431938541,0.6819731841669479,0.027621359792561903,0.682674379567441,0.026936633203293026,0.8409865920834738,0.013810679896280962,0.8564174598878722,0.020158128371911832
3Class_ND_CDED_MD,group_minus_POSE_VEHICLE,group,POSE_VEHICLE,"POSE,VEHICLE","POSE,VEHICLE",2,28,0.79645113213746,0.03724782018277871,0.7964511321374601,0.037247820182778696,0.8054090427308266,0.03549701780253641,0.7964511321374601,0.037247820182778696,0.7970492540988352,0.03715641341646378,0.89822556606873,0.01862391009138936,0.9275318241871799,0.019109955576261734
3Class_ND_CDED_MD,group_minus_POSE_GAZE,group,POSE_GAZE,"POSE,GAZE","POSE,GAZE",2,22,0.8136854121793332,0.024593428800657006,0.8136854121793334,0.024593428800656975,0.8245281298348125,0.024170665561813968,0.8136854121793334,0.024593428800656975,0.8151312074550192,0.024209110499334472,0.9068427060896667,0.012296714400328498,0.9355324299331016,0.015606078698166902
3Class_ND_CDED_MD,group_minus_VEHICLE_GAZE,group,VEHICLE_GAZE,"VEHICLE,GAZE","VEHICLE,GAZE",2,23,0.7816812355409971,0.031105338639272333,0.7816812355409971,0.031105338639272322,0.7926795671721427,0.030943254488955442,0.7816812355409971,0.031105338639272322,0.7799460595926166,0.032874964968832944,0.8908406177704986,0.015552669319636201,0.9275245390365214,0.01985656384805863
3Class_ND_CDED_MD,feature_minus_AU01_r,feature,AU01_r,AU,AU,1,38,0.8283373156185047,0.03380943383120568,0.8283373156185047,0.033809433831205646,0.8368952340245587,0.03379843186111859,0.8283373156185047,0.033809433831205646,0.8296464863119244,0.03357591913717273,0.9141686578092523,0.016904716915602844,0.9454586057641109,0.01650074444909557
3Class_ND_CDED_MD,feature_minus_AU02_r,feature,AU02_r,AU,AU,1,38,0.8254200477105081,0.03461153291322903,0.8254200477105081,0.03461153291322903,0.8344312549720903,0.03406986158639065,0.8254200477105081,0.03461153291322903,0.8267596563143977,0.03438810599800259,0.9127100238552541,0.017305766456614538,0.9440503500697632,0.01685994269725474
3Class_ND_CDED_MD,feature_minus_AU04_r,feature,AU04_r,AU,AU,1,38,0.8302123627428071,0.0314719027310406,0.8302123627428071,0.03147190273104056,0.8385820441415561,0.031560356498824944,0.8302123627428071,0.03147190273104056,0.8314374270147955,0.031363471183397565,0.9151061813714035,0.015735951365520306,0.9454376714406596,0.016313625581388748
3Class_ND_CDED_MD,feature_minus_AU05_r,feature,AU05_r,AU,AU,1,38,0.8293171616911461,0.035020433961652365,0.8293171616911461,0.03502043396165234,0.8374705336696673,0.03438768570373249,0.8293171616911461,0.03502043396165234,0.8305809188205304,0.03488356906591449,0.9146585808455733,0.01751021698082616,0.9445060660887521,0.016823892618202545
3Class_ND_CDED_MD,feature_minus_AU06_r,feature,AU06_r,AU,AU,1,38,0.8273178294988398,0.033023890407136054,0.8273178294988398,0.033023890407136054,0.8358821999628061,0.03303898341422226,0.8273178294988398,0.033023890407136054,0.8285739310358643,0.032865615778756165,0.9136589147494198,0.016511945203568044,0.9451305747891563,0.01605934365304052
3Class_ND_CDED_MD,feature_minus_AU07_r,feature,AU07_r,AU,AU,1,38,0.8272723212400065,0.03198950385367899,0.8272723212400065,0.03198950385367897,0.8343752154961844,0.032803874218703045,0.8272723212400065,0.03198950385367897,0.8282532367482389,0.03198124183354674,0.9136361606200033,0.015994751926839516,0.9444568616590987,0.015713449845897377
3Class_ND_CDED_MD,feature_minus_AU09_r,feature,AU09_r,AU,AU,1,38,0.8360300610619529,0.0363263346434482,0.8360300610619529,0.0363263346434482,0.8435512736295246,0.035976518902431254,0.8360300610619529,0.0363263346434482,0.837267532664643,0.0362039701420484,0.9180150305309764,0.018163167321724082,0.9467620233642358,0.01706201764020636
3Class_ND_CDED_MD,feature_minus_AU10_r,feature,AU10_r,AU,AU,1,38,0.8294094593963376,0.035563033462509976,0.8294094593963377,0.035563033462509976,0.8368991528271437,0.03595415374931593,0.8294094593963377,0.035563033462509976,0.8305647835285326,0.03546223921333208,0.9147047296981687,0.01778151673125501,0.944729397469035,0.016602965812286787
3Class_ND_CDED_MD,feature_minus_AU12_r,feature,AU12_r,AU,AU,1,38,0.8315269371853902,0.03425151041102592,0.8315269371853902,0.03425151041102592,0.8387581924765382,0.03438377997658821,0.8315269371853902,0.03425151041102592,0.8327032934072749,0.034149297998674895,0.9157634685926951,0.017125755205513,0.9456881431822796,0.016258022120232876
3Class_ND_CDED_MD,feature_minus_AU14_r,feature,AU14_r,AU,AU,1,38,0.8337066825189361,0.03413776933864183,0.8337066825189361,0.034137769338641856,0.8406081331265695,0.03429291957111228,0.8337066825189361,0.034137769338641856,0.8348450466596473,0.034093296984782244,0.916853341259468,0.01706888466932095,0.945244353388971,0.01624230340473568
3Class_ND_CDED_MD,feature_minus_AU15_r,feature,AU15_r,AU,AU,1,38,0.8291681571865961,0.035104585804763555,0.8291681571865961,0.03510458580476354,0.8382277892040868,0.034575039153926256,0.8291681571865961,0.03510458580476354,0.8305861508140266,0.0349798190317876,0.914584078593298,0.017552292902381764,0.9450325572463372,0.016218252529587827
3Class_ND_CDED_MD,feature_minus_AU17_r,feature,AU17_r,AU,AU,1,38,0.8293942585184515,0.03593428152968309,0.8293942585184514,0.03593428152968308,0.8374140373730008,0.03575916215316241,0.8293942585184514,0.03593428152968308,0.83061575299798,0.03588410403574041,0.9146971292592256,0.017967140764841478,0.9452177203011816,0.01694947020513751
3Class_ND_CDED_MD,feature_minus_AU20_r,feature,AU20_r,AU,AU,1,38,0.8288633922623196,0.03127221853253883,0.8288633922623194,0.03127221853253883,0.8374800099405301,0.030918530146683908,0.8288633922623194,0.03127221853253883,0.830170147520058,0.031141318283124015,0.9144316961311597,0.015636109266269398,0.9453016370578726,0.015942819948466743
3Class_ND_CDED_MD,feature_minus_AU23_r,feature,AU23_r,AU,AU,1,38,0.8308936874014922,0.03389974675631474,0.8308936874014922,0.03389974675631477,0.8391463229734624,0.03338229871243777,0.8308936874014922,0.03389974675631477,0.8321080267781223,0.03374978344751552,0.9154468437007461,0.01694987337815739,0.9457856966104174,0.01623433266432098
3Class_ND_CDED_MD,feature_minus_AU25_r,feature,AU25_r,AU,AU,1,38,0.8117592162648124,0.03069026671260556,0.8117592162648126,0.03069026671260553,0.8231750717175073,0.031537291372673505,0.8117592162648126,0.03069026671260553,0.8132424113870407,0.030517381913127296,0.9058796081324061,0.015345133356302759,0.9393832219086736,0.019825370780457426
3Class_ND_CDED_MD,feature_minus_AU26_r,feature,AU26_r,AU,AU,1,38,0.8300445680370526,0.03169561550914944,0.8300445680370524,0.03169561550914944,0.8384807160819255,0.03157829110703541,0.8300445680370524,0.03169561550914944,0.831523064223699,0.0315441970452317,0.9150222840185261,0.015847807754574686,0.9449955230373487,0.015090089915381149
3Class_ND_CDED_MD,feature_minus_AU45_r,feature,AU45_r,AU,AU,1,38,0.8058282930751004,0.03634005932102917,0.8058282930751004,0.03634005932102918,0.8178176375719193,0.03556421293139534,0.8058282930751004,0.03634005932102918,0.8064559969620346,0.03684096862112481,0.9029141465375503,0.018170029660514606,0.9346733472108613,0.02027292944454267
3Class_ND_CDED_MD,feature_minus_pose_Tx,feature,pose_Tx,POSE,POSE,1,38,0.8313569012048401,0.032813385623149116,0.8313569012048403,0.03281338562314912,0.839747179514425,0.03159490703490769,0.8313569012048403,0.03281338562314912,0.8326718748872357,0.03249885977763642,0.91567845060242,0.01640669281157454,0.9458736749280787,0.015353609538405798
3Class_ND_CDED_MD,feature_minus_pose_Ty,feature,pose_Ty,POSE,POSE,1,38,0.8328064175042217,0.0313711020822657,0.8328064175042217,0.031371102082265706,0.8402121452568405,0.03123978493578126,0.8328064175042217,0.031371102082265706,0.8339876922977734,0.031260516600439874,0.9164032087521109,0.01568555104113281,0.9462644503962279,0.01613021373272137
3Class_ND_CDED_MD,feature_minus_pose_Tz,feature,pose_Tz,POSE,POSE,1,38,0.8367194066246244,0.03644527127507853,0.8367194066246244,0.036445271275078475,0.8430452680653133,0.03623519671422628,0.8367194066246244,0.036445271275078475,0.8377906777048387,0.03645499987332675,0.9183597033123123,0.018222635637539286,0.9457343024380662,0.016309144949994057
3Class_ND_CDED_MD,feature_minus_pose_Rx,feature,pose_Rx,POSE,POSE,1,38,0.8313163102968886,0.03523109978155444,0.8313163102968886,0.03523109978155444,0.8387836050854013,0.03434433301189747,0.8313163102968886,0.03523109978155444,0.8325561029843422,0.03506880118630063,0.9156581551484443,0.01761554989077721,0.9446448006726287,0.016873645654505335
3Class_ND_CDED_MD,feature_minus_pose_Ry,feature,pose_Ry,POSE,POSE,1,38,0.8363754815283648,0.03282207234476625,0.8363754815283647,0.032822072344766216,0.8432604772904725,0.03258611928308892,0.8363754815283647,0.032822072344766216,0.8375529390742763,0.03273506448581434,0.9181877407641824,0.01641103617238318,0.9455132410563885,0.016135934219206935
3Class_ND_CDED_MD,feature_minus_pose_Rz,feature,pose_Rz,POSE,POSE,1,38,0.8318898596354026,0.03402279106249223,0.8318898596354026,0.03402279106249221,0.8388911275516062,0.03374151471961948,0.8318898596354026,0.03402279106249221,0.8331205925000091,0.03393508284574452,0.9159449298177014,0.017011395531246105,0.9456977395148998,0.016730123904518588
3Class_ND_CDED_MD,feature_minus_Speed,feature,Speed,VEHICLE,VEHICLE,1,38,0.8305074755765215,0.036456380168447676,0.8305074755765215,0.0364563801684477,0.8372818801795935,0.03612321688061383,0.8305074755765215,0.0364563801684477,0.8316759993227958,0.03625727317765849,0.9152537377882608,0.018228190084223866,0.9444910701700795,0.01690379448720368
3Class_ND_CDED_MD,feature_minus_Acceleration,feature,Acceleration,VEHICLE,VEHICLE,1,38,0.8328413176801611,0.03519489007791231,0.8328413176801611,0.035194890077912266,0.8404332342780375,0.034763197822282016,0.8328413176801611,0.035194890077912266,0.8340908437787853,0.035098125072126216,0.9164206588400805,0.01759744503895612,0.9449699320543393,0.01666538962443553
3Class_ND_CDED_MD,feature_minus_Brake,feature,Brake,VEHICLE,VEHICLE,1,38,0.8302363887519373,0.03197040528840888,0.8302363887519373,0.03197040528840888,0.8382918176974643,0.03168107510602019,0.8302363887519373,0.03197040528840888,0.8315173926233864,0.03186889436166167,0.9151181943759686,0.01598520264420441,0.945527387692359,0.01612160159814725
3Class_ND_CDED_MD,feature_minus_Steering,feature,Steering,VEHICLE,VEHICLE,1,38,0.827992969106732,0.03239669634071784,0.827992969106732,0.032396696340717845,0.8352868711565419,0.032776515962017076,0.827992969106732,0.032396696340717845,0.8287608294210956,0.03231503934601796,0.913996484553366,0.016198348170358992,0.9399045971108846,0.018906363133029923
3Class_ND_CDED_MD,feature_minus_LaneOffset,feature,LaneOffset,VEHICLE,VEHICLE,1,38,0.8338956341332355,0.037068036013334485,0.8338956341332355,0.0370680360133345,0.8406741960787167,0.03657380582469442,0.8338956341332355,0.0370680360133345,0.8350522884929215,0.03700371840041508,0.9169478170666177,0.01853401800666725,0.9456639952810784,0.016388650295613035
3Class_ND_CDED_MD,feature_minus_gaze_0_x,feature,gaze_0_x,GAZE,GAZE,1,38,0.8359078925773392,0.032278336372630605,0.8359078925773392,0.032278336372630625,0.8427477089869451,0.0321889824899432,0.8359078925773392,0.032278336372630625,0.8370449810423176,0.03225449811643785,0.9179539462886697,0.016139168186315278,0.9459070378894914,0.01574831434290436
3Class_ND_CDED_MD,feature_minus_gaze_0_y,feature,gaze_0_y,GAZE,GAZE,1,38,0.8391295284256894,0.03487202859276072,0.8391295284256894,0.03487202859276072,0.8458153273423127,0.034348819011513,0.8391295284256894,0.03487202859276072,0.8403530567953252,0.0348229104429943,0.9195647642128449,0.017436014296380357,0.9464899188980705,0.016412620021707736
3Class_ND_CDED_MD,feature_minus_gaze_0_z,feature,gaze_0_z,GAZE,GAZE,1,38,0.8345836265284277,0.03239524362853063,0.8345836265284274,0.03239524362853063,0.8418008353207957,0.032412421733378084,0.8345836265284274,0.03239524362853063,0.8358081445477851,0.03240371617073665,0.9172918132642136,0.016197621814265338,0.946105273848867,0.015909630542737873
3Class_ND_CDED_MD,feature_minus_gaze_1_x,feature,gaze_1_x,GAZE,GAZE,1,38,0.8352179946097582,0.03186232543268251,0.8352179946097582,0.031862325432682484,0.8421102011522936,0.031764807391076254,0.8352179946097582,0.031862325432682484,0.8364512831871622,0.031833322336841205,0.9176089973048791,0.01593116271634126,0.946130408043379,0.015850598011537747
3Class_ND_CDED_MD,feature_minus_gaze_1_y,feature,gaze_1_y,GAZE,GAZE,1,38,0.8325668130048633,0.03252486686896251,0.8325668130048636,0.03252486686896252,0.8401394780813727,0.03261655915059151,0.8325668130048636,0.03252486686896252,0.8338308850361489,0.032477793889947454,0.9162834065024317,0.0162624334344813,0.9452792387110762,0.01583561270962978
3Class_ND_CDED_MD,feature_minus_gaze_1_z,feature,gaze_1_z,GAZE,GAZE,1,38,0.8311108366171253,0.03152538329362825,0.8311108366171253,0.03152538329362825,0.8396040946202363,0.030828328775612337,0.8311108366171253,0.03152538329362825,0.8323971059750981,0.03126999102465305,0.9155554183085626,0.015762691646814164,0.9452401938404018,0.015914158787817545
3Class_ND_CDED_MD,feature_minus_gaze_angle_x,feature,gaze_angle_x,GAZE,GAZE,1,38,0.8336663305522091,0.03314472060121168,0.8336663305522091,0.033144720601211694,0.8406371185307275,0.03305831031859097,0.8336663305522091,0.033144720601211694,0.834893076885858,0.033090737518113374,0.9168331652761046,0.016572360300605847,0.9453440243998525,0.0162271570967348
